"id","place_id","description","address","images","websites","rating","create_at","modified_on"
1,1,"Accessible by foot 15min stroll from the main train station. Its near the main town hall, and with lots of restaurants and shops along the way to the church. There are many beautiful paintings and artifacts in the main hall, with many souvenirs a visitor could buy for as little as 1 eur","Alter Markt, 24103 Kiel","Nikolai.JPG","www.st-nikolai-kiel.de",4.6,"2020-01-18 06:35:22.096735","2020-01-18 06:35:22.096735"
2,2,"The Ostseekai is a quay in the Schleswig-Holstein capital of Kiel with two ship berths for passenger ships , which is located directly on the city center on the western side of the Kiel Fjord .","Wall 65, 24103 Kiel","ostseekai_terminal.jpg","https://www.portofkiel.com/haefen-terminals.html",4.3,"2020-01-18 06:36:03.754561","2020-01-18 06:36:03.754561"
4,4,"The Ostseekai is a quay in the Schleswig-Holstein capital of Kiel with two ship berths for passenger ships , which is located directly on the city center on the western side of the Kiel Fjord . ","Wall 65, 24103 Kiel","the_maritime_museum.jpg","https://www.kiel.de/",4.3,"2020-01-18 06:36:23.569257","2020-01-18 06:36:23.569257"
5,5,"Our shop window on the maritime worlds is located directly on the Kiel Fjord and invites you to discover domestic but also exotic underwater worlds .     Various animal species from the North and Baltic Seas, the Mediterranean and the tropics live on 350 m² of exhibition space. Our group of seals entertains visitors in the freely accessible outdoor enclosure. Special highlights are the feeding, where our seals like to show some tricks ...     With more than 80,000 visitors a year, our GEOMAR aquarium is one of the tourist attractions of the Schleswig-Holstein state capital. A visit as a family with children, with the school class or kindergarten - it is always worth it, regardless of the weather.","Düsternbrooker Weg 20, 24105 Kiel","Aquarium_GEOMAR.jpg","https://www.aquarium-geomar.de/",4.1,"2020-01-18 06:36:51.435509","2020-01-18 06:36:51.435509"
6,6,"The Botanic Gardens Kiel belong to the Botanical Institute of Kiel University and boast a history reaching back 350 years. Now at their fifth location within the city of Kiel, the gardens have been open to the public since 1985 and harbour about 14,000 plant species for science, for research and the training of students and for the enjoyment and instruction of visitors.","Am Botanischen Garten 1-9, 24118 Kiel","b_garden.jpg","http://www.botanischer-garten.uni-kiel.de/en",4.6,"2020-01-18 06:37:33.45995","2020-01-18 06:37:33.45995"
7,7,"The submarine bunker Kilian on the site of the Kiel War Shipyard (from 1943: Howaldtswerke Kiel ) was built between 1941 and 1943 on the northern bank of the Schwentine estuary in Kiel-Dietrichsdorf using forced labor and was put into operation as a submarine bunker .","Kiellinie 249, 24106 Kiel","Flandernbunker.jpg","http://www.mahnmalkilian.de/flandernbunker.html",4.2,"2020-01-18 06:37:48.100874","2020-01-18 06:37:48.100874"
9,9,"The Zoological Museum Kiel is a facility of the Christian-Albrechts-University of Kiel, whose history goes back to the 17th century. ","Hegewischstrasse 2, 24105 Kiel","zoological_musem.jpg","http://www.zoologisches-museum.uni-kiel.de/index.php",4.6,"2020-01-18 06:39:16.177943","2020-01-18 06:39:16.177943"
12,12,"The Audimax building is fully illuminated with WirelessLAN. The radio networks ""CAUx"" (for employees and students of the CAU) and ""eduroam"" (for guests) are broadcast. Students automatically get access with their stu ID. Employees need a user ID for the data center and the ""dial-in service"". This service is also required for VPN use. Information on the CAU radio networks and their configuration can be found on the website of the data center.","Christian-Albrechts-Platz 2, 24118 Kiel","Audimax_Kiel.jpg","https://www.uni-kiel.de",4.2,"2020-01-18 09:48:17.187805","2020-01-18 09:48:17.187805"
13,13,"This is one place which will remain etched in my mind forever.The path leading up to this blessed lake is simply out of a movie. There is beautiful greenery all around, prayer flags fluttering in the breeze and the mesmerizing chants coming from the nearby monastery. Little stone stupas made by locals and tourists line the sides of the pathway and you can make one too with a little wish :) I had heard about the curative properties of this lake, but the amazing thing was that I had a personal experience and that is the reason this will remain one of the most memorable places I've visited.","24113 Kiel","Drachensee.jpg","NONE",5,"2020-01-18 09:51:02.040403","2020-01-18 09:51:02.040403"
14,14,"Cemetery for Elmschenhagen in Kiel, Germany. The cemetery is adjacent to the Maria-Magdelenen-Kirche Lutheran church. The cemetery has an area for victims of World War II aerial bombings in Kiel. The cemetery was dedicated on 30 November 1872 and is administered by the Evangelisch-Lutherischer Kirchenkreis Altholstein.","Elmschenhagener Allee 4, 24146 Kiel","Friedhof_Elmschenhagen.jpg","www.friedhof-kiel.de",4.8,"2020-01-18 09:53:34.265856","2020-01-18 09:53:34.265856"
